"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Alert","24383","paragraphTextValueTestSoftAssertions(Quest)","","Fri Jul 25 17:40:22 GMT 2025","passed","Fri Jul 25 17:40:46 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestSoftAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","20837","tableAssert(Quest)","","Fri Jul 25 17:40:22 GMT 2025","passed","Fri Jul 25 17:40:43 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select","20848","paragraphTextValueTestHardAssertions(Quest)","","Fri Jul 25 17:40:22 GMT 2025","passed","Fri Jul 25 17:40:43 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestHardAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select","10566","paragraphTextValueTestMixedAssertions(Quest)","","Fri Jul 25 17:40:44 GMT 2025","passed","Fri Jul 25 17:40:54 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestMixedAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","7367","tableFromToRowsCertainCellsAssert(Quest)","","Fri Jul 25 17:40:47 GMT 2025","passed","Fri Jul 25 17:40:54 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableFromToRowsCertainCellsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","8600","tableWithLinkComponentAssert(Quest)","","Fri Jul 25 17:40:43 GMT 2025","passed","Fri Jul 25 17:40:51 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithLinkComponentAssert"
"COMPONENTS: Button, Input, Link, Select, Alert","15935","alertTest(Quest)","","Fri Jul 25 17:40:22 GMT 2025","passed","Fri Jul 25 17:40:38 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","alertTest"
"COMPONENTS: Button, Input, Link, List, Select, Radio, Alert","9252","radioButtonTest(Quest)","","Fri Jul 25 17:40:43 GMT 2025","passed","Fri Jul 25 17:40:52 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","radioButtonTest"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","6208","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert(Quest)","","Fri Jul 25 17:40:52 GMT 2025","passed","Fri Jul 25 17:40:58 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","6925","tableFromToRowsAssert(Quest)","","Fri Jul 25 17:40:51 GMT 2025","passed","Fri Jul 25 17:40:58 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableFromToRowsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","22046","tableWithButtonCustomServiceAssert(Quest)","","Fri Jul 25 17:40:22 GMT 2025","passed","Fri Jul 25 17:40:44 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","9542","tableCertainCellsAssert(Quest)","","Fri Jul 25 17:40:46 GMT 2025","passed","Fri Jul 25 17:40:56 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableCertainCellsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","8886","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert(Quest)","","Fri Jul 25 17:40:38 GMT 2025","passed","Fri Jul 25 17:40:47 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert"
