"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"COMPONENTS: Button, Input, Link, List, Validate, Select","20293","paragraphTextValueTestHardAssertions(Quest)","","Fri Jul 25 17:45:00 GMT 2025","passed","Fri Jul 25 17:45:20 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestHardAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","10235","tableCertainCellsAssert(Quest)","","Fri Jul 25 17:45:23 GMT 2025","broken","Fri Jul 25 17:45:33 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableCertainCellsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","3762","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert(Quest)","","Fri Jul 25 17:45:28 GMT 2025","passed","Fri Jul 25 17:45:32 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","4630","tableFromToRowsAssert(Quest)","","Fri Jul 25 17:45:26 GMT 2025","passed","Fri Jul 25 17:45:31 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableFromToRowsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select","7416","paragraphTextValueTestMixedAssertions(Quest)","","Fri Jul 25 17:45:23 GMT 2025","passed","Fri Jul 25 17:45:30 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestMixedAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","20850","tableWithButtonCustomServiceAssert(Quest)","","Fri Jul 25 17:45:00 GMT 2025","passed","Fri Jul 25 17:45:21 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceAssert"
"COMPONENTS: Button, Input, Link, List, Select, Radio, Alert","7263","radioButtonTest(Quest)","","Fri Jul 25 17:45:21 GMT 2025","passed","Fri Jul 25 17:45:28 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","radioButtonTest"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","6454","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert(Quest)","","Fri Jul 25 17:45:18 GMT 2025","passed","Fri Jul 25 17:45:24 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","22617","tableAssert(Quest)","","Fri Jul 25 17:45:00 GMT 2025","broken","Fri Jul 25 17:45:23 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Alert","22782","paragraphTextValueTestSoftAssertions(Quest)","","Fri Jul 25 17:45:00 GMT 2025","passed","Fri Jul 25 17:45:23 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestSoftAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","8456","tableFromToRowsCertainCellsAssert(Quest)","","Fri Jul 25 17:45:24 GMT 2025","broken","Fri Jul 25 17:45:33 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableFromToRowsCertainCellsAssert"
"COMPONENTS: Button, Input, Link, Select, Alert","17572","alertTest(Quest)","","Fri Jul 25 17:45:00 GMT 2025","passed","Fri Jul 25 17:45:18 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","alertTest"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","5821","tableWithLinkComponentAssert(Quest)","","Fri Jul 25 17:45:20 GMT 2025","passed","Fri Jul 25 17:45:26 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithLinkComponentAssert"
