"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","9411","tableCertainCellsAssert(Quest)","","Fri Jul 25 17:18:23 GMT 2025","broken","Fri Jul 25 17:18:33 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableCertainCellsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","9852","tableWithLinkComponentAssert(Quest)","","Fri Jul 25 17:18:23 GMT 2025","broken","Fri Jul 25 17:18:33 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithLinkComponentAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","8154","tableFromToRowsCertainCellsAssert(Quest)","","Fri Jul 25 17:18:33 GMT 2025","broken","Fri Jul 25 17:18:41 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableFromToRowsCertainCellsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","9319","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert(Quest)","","Fri Jul 25 17:18:23 GMT 2025","broken","Fri Jul 25 17:18:33 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert"
"COMPONENTS: Button, Input, Link, Select, Alert","20991","alertTest(Quest)","","Fri Jul 25 17:18:02 GMT 2025","broken","Fri Jul 25 17:18:23 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","alertTest"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","20957","tableWithButtonCustomServiceAssert(Quest)","","Fri Jul 25 17:18:02 GMT 2025","broken","Fri Jul 25 17:18:23 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceAssert"
"COMPONENTS: Button, Input, Link, List, Select, Radio, Alert","9407","radioButtonTest(Quest)","","Fri Jul 25 17:18:23 GMT 2025","broken","Fri Jul 25 17:18:33 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","radioButtonTest"
"COMPONENTS: Button, Input, Link, List, Validate, Select","9399","paragraphTextValueTestMixedAssertions(Quest)","","Fri Jul 25 17:18:23 GMT 2025","broken","Fri Jul 25 17:18:33 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestMixedAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select","20978","paragraphTextValueTestHardAssertions(Quest)","","Fri Jul 25 17:18:02 GMT 2025","broken","Fri Jul 25 17:18:23 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestHardAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","20988","tableAssert(Quest)","","Fri Jul 25 17:18:02 GMT 2025","broken","Fri Jul 25 17:18:23 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","8124","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert(Quest)","","Fri Jul 25 17:18:33 GMT 2025","broken","Fri Jul 25 17:18:41 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","8107","tableFromToRowsAssert(Quest)","","Fri Jul 25 17:18:33 GMT 2025","broken","Fri Jul 25 17:18:41 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableFromToRowsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Alert","20851","paragraphTextValueTestSoftAssertions(Quest)","","Fri Jul 25 17:18:02 GMT 2025","broken","Fri Jul 25 17:18:23 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestSoftAssertions"
