"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","9115","tableWithLinkComponentAssert(Quest)","","Sat Jul 26 10:07:51 GMT 2025","broken","Sat Jul 26 10:08:00 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithLinkComponentAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","19460","tableAssert(Quest)","","Sat Jul 26 10:07:32 GMT 2025","broken","Sat Jul 26 10:07:51 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableAssert"
"COMPONENTS: Button, Input, Link, Select, Alert","19447","alertTest(Quest)","","Sat Jul 26 10:07:32 GMT 2025","broken","Sat Jul 26 10:07:51 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","alertTest"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","9587","tableCertainCellsAssert(Quest)","","Sat Jul 26 10:07:51 GMT 2025","broken","Sat Jul 26 10:08:01 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableCertainCellsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Alert","19444","paragraphTextValueTestSoftAssertions(Quest)","","Sat Jul 26 10:07:32 GMT 2025","broken","Sat Jul 26 10:07:51 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestSoftAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","7900","tableFromToRowsCertainCellsAssert(Quest)","","Sat Jul 26 10:08:00 GMT 2025","broken","Sat Jul 26 10:08:08 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableFromToRowsCertainCellsAssert"
"COMPONENTS: Button, Input, Link, List, Select, Radio, Alert","8476","radioButtonTest(Quest)","","Sat Jul 26 10:07:51 GMT 2025","broken","Sat Jul 26 10:08:00 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","radioButtonTest"
"COMPONENTS: Button, Input, Link, List, Validate, Select","19456","paragraphTextValueTestHardAssertions(Quest)","","Sat Jul 26 10:07:32 GMT 2025","broken","Sat Jul 26 10:07:51 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestHardAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","19453","tableWithButtonCustomServiceAssert(Quest)","","Sat Jul 26 10:07:32 GMT 2025","broken","Sat Jul 26 10:07:51 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select","8911","paragraphTextValueTestMixedAssertions(Quest)","","Sat Jul 26 10:07:51 GMT 2025","broken","Sat Jul 26 10:08:00 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","paragraphTextValueTestMixedAssertions"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","7763","tableFromToRowsAssert(Quest)","","Sat Jul 26 10:08:00 GMT 2025","broken","Sat Jul 26 10:08:08 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableFromToRowsAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","9339","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert(Quest)","","Sat Jul 26 10:07:51 GMT 2025","broken","Sat Jul 26 10:08:01 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert"
"COMPONENTS: Button, Input, Link, List, Validate, Select, Table","7649","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert(Quest)","","Sat Jul 26 10:08:00 GMT 2025","broken","Sat Jul 26 10:08:08 GMT 2025","","com.zerobank.project.ZeroBankTest","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert"
